https://www.douyin.com/user/MS4wLjABAAAA_-1iA5P9JPmG7AgtS0Rghi1CvO73BPJKHExIVq713eFcmkkVwjKyT3KiD3Pw1T9r,呼吸内科伍滔医生,抖音号： wutao120,湘潭市中心医院呼吸内科副主任医师,伍滔。硕士研究生。呼吸与危重症医学科主任医师。病区主任。从医20年。呼吸专科医师15年。对于呼吸内科常见疾病（慢阻肺、支气管哮喘、睡眠睡眠暂停综合征等）及危重症疾患具有较深厚的诊治能力。熟练掌握气管镜操作。先后发表国家级论文5篇。,25,27.1w,79.5w,419,29
https://www.douyin.com/user/MS4wLjABAAAA_001tdsI8k_KDeCIGjxGws4OstKlsjWTwlWHm3Pv-Ao,教育小微,抖音号： jiaoyuxiaowei,教育部政务新媒体抖音号,和小微一起。看不一样的教育,64,15.5w,280.2w,1823,161
https://www.douyin.com/user/MS4wLjABAAAA_1-fq6rI67TN_dBTCd2UqG0aK2bh2-rhOfE6bsyKuV4,A帅邦 厨卫电器 集成吊顶《葛》,抖音号： ge13855233595,,知足常乐,270,315,9307,348,
https://www.douyin.com/user/MS4wLjABAAAA_1e507_QenRFbdXOCk9bsWhvSXx2RnVSf5fGXHNOX8g,李楠-体重管理,抖音号： 1997913598,,,53,151.1w,388.7w,229,
https://www.douyin.com/user/MS4wLjABAAAA_1HSti-ixOP4o7JzchM0CYJMDuabEtQEZz6T0f3zpg4,子银动漫 推荐,抖音号： Yyh990413,,,352,8851,11.9w,56,
https://www.douyin.com/user/MS4wLjABAAAA_1S2URpeASzE0oZ8IFlascjJfB4agVgA4Sp2kUF7qNqlhCWXX3NYoL5ot5mD2KeJ,汇能教育    护士资格证辅导辰辰老师,抖音号： huinengjiaoy46,,,415,3273,4.8w,487,
https://www.douyin.com/user/MS4wLjABAAAA_2BKrerX-l4EKYYSpyuP20L9gqJXGc6a8xgmMYQbA48fnvhW6We6HmCPxZe0kuqR,秋天,抖音号： dyoqk0n2c6mu,,轮椅上的嘛嘛,61,89,356,78,
https://www.douyin.com/user/MS4wLjABAAAA_3jIKvNwLhlZCvjoI-ELi92QoAAfL8UWInT8slFDZK1Vu-fkGF7mHMewXw2sBTG6,Pediatrician  Ma,抖音号： MaLiang2035,青岛大学附属医院儿童保健科主治医师 马良,,29,51.8w,211.5w,264,
https://www.douyin.com/user/MS4wLjABAAAA_4XdCxyLOoAB6CzKGiX86YgexVo3ZturROKPBvSTkO4,梁静,抖音号： 365735856,,,286,120,541,43,
https://www.douyin.com/user/MS4wLjABAAAA_6ZQpjrXVLeTP4ScfNsgNqG8L7r6rpeWLsU2fUgqesvmwDxSMRNc14-Hg1V1ePPE,小雅畜禽在线,抖音号： zhuzhu12.11,,,2153,1.7w,5.8w,142,
https://www.douyin.com/user/MS4wLjABAAAA_7If7eslFFVP4Pf8XJfBTJYi262gLHJRUs7O9Uxfbxc,拉布拉多百科,抖音号： dynnbov02t0u,,每天更新拉布拉多健康小知识。喜欢可关注！,15,8.5w,77.4w,1764,226
https://www.douyin.com/user/MS4wLjABAAAA_7LHozsnOstqFSZQf_MBAfeuurqrTRxjdvaSjdD5Wr6yPTtUfsF0H0MDcqtkfnge,东方医院张敬锋,抖音号： 98171491564,北京中医药大学东方医院肾病科主任医师 张敬锋,,193,7.6w,19.9w,284,
https://www.douyin.com/user/MS4wLjABAAAA_7mHSQX4nAA9j4lcoJ96HGXW2MKdB0rtxBRORTptId-wgKwKheKhy_ljUHxQv2JH,cci莹,抖音号： cciying49923,,一个人的健康。要从每天早餐开始！,90,433,957,257,41930
