页面网址,文本,文本1,文本2,文本3,following,follower,likes,vn,helikes
https://www.douyin.com/user/MS4wLjABAAAADpM4jbat_mbZoEckdUOutRY9CMX33wqNyk3xFC7_aa0,36.7 ℃明星听诊会,抖音号： SMG367,上海广播电视台都市频道《36.7℃明星听诊会》栏目官方抖音账号,"上海都市频道
《36.7℃》栏目
任何问题欢迎私信小编
每周五20点30分
记得看节目",22,10.5w,50.5w,155,
https://www.douyin.com/user/MS4wLjABAAAA79pCaT5bZ4spz_fd7zM-SNdzEYdHdCRUZE0IPZ7Y91s,1587350921,抖音号： 1587350921,,,46,303,630,0,
https://www.douyin.com/user/MS4wLjABAAAA2ABni34fCuU7utZMHSyYcboDnUl82yDhxiGqy_sua1w,3小时复述一本书,抖音号： dy80cdmnj3f5,,三小时复述一本书课程是大脑空间全国首创的高效学习课程，目前面向全国招生招商，帮助孩子解决时间问题，帮助校区解决招生转化问题，各位家长和校长感兴趣请咨询：15564028359（微信同号）,51,135,1370,234,
https://www.douyin.com/user/MS4wLjABAAAAHM-POgYpNFXTSp8EC6y44zLeUotHt1jxzWQ5Zlib4sI,crystal语萧,抖音号： fyxftt,,"新手宝妈（已生女宝一枚）
孕期记录",38,48,238,32,
https://www.douyin.com/user/MS4wLjABAAAACDAHI72RKfel0nItWuWcY3qkYe4Yr3y_TjG4BNpvyjO8ZGjXMOfIDGRyj5_U71_K,42是猫,抖音号： 42iscat,,会点减脂。,16,109,592,22,
https://www.douyin.com/user/MS4wLjABAAAA2weoI33baid82MNLTwFDTSbbqhVEbK0rF5FsxSNyZ7M,D.S健身工作室魔鬼龙教,抖音号： 1053715635,,"工作生活并存，做个开心的平凡人。
健身教练一枚。",304,116,716,93,
https://www.douyin.com/user/MS4wLjABAAAAefxvTOSPGY7-1KuEjrcMHIVZoXqH1x3Ef_P5sb7zlDg,610的控糖生活,抖音号： 65370044293,,分享一个新人的控糖生活！,16,2112,99,97,
https://www.douyin.com/user/MS4wLjABAAAAzc92xUh26Wb6IntABkJrU-0CppBkdrTV5OpCgoJXf1s,DᴀWn.,抖音号： 873884693,,学会在心中自修篱笆，依然能悠然南山下ꦿ,110,263,2527,69,
https://www.douyin.com/user/MS4wLjABAAAAGThZEQhPfeANiBr7XEynUt02xME4h1wk6jJLRftb9CpSCaYdYhMCziBpsCJX0bzx,Dear Baby,抖音号： DearBaby.life,杭州威范网络科技有限公司,"「宝宝吃的，要选鲜的」
百万妈妈信赖的新一代婴童鲜主食品牌
与你分享实用、有趣的营养、喂养、育儿知识
告诉你如何轻松做辅食，让宝宝的餐桌五颜六色
快来直播间，超值浮力等你来",38,1919,368,47,
https://www.douyin.com/user/MS4wLjABAAAAs2rD2hhn7w833H0_MwUXTWGtHJV6ZfUoRKT2r5KTz-3CDVJX-NskLM-LnFhp_EhP,72团鑫众康源大药房,抖音号： lmb.155692389666,,"今日起我便是佛教弟子，无欲无念
静心修养生心",183,188,2654,315,
https://www.douyin.com/user/MS4wLjABAAAAEkH1yXutLOhoFV9Mu_BpKFjaB_HK2KrR_zNMyTuQT4U,DF,抖音号： 286666078Li,,韩愈说：“业精于勤，荒于嬉；行成于思，毁于随。”,441,341,1.0w,532,
https://www.douyin.com/user/MS4wLjABAAAAYVOhK56Jx2eLsjrrxWwjNGCuUD_xyPMi9MeqTwTztEg,1720422090,抖音号： 1720422090,,,862,507,5481,231,
https://www.douyin.com/user/MS4wLjABAAAAQw1NR3rdhwIX476EdclRakOXICP7goSveYsDdo2NO2Wz9TIaKp-8iuVtnxdmjkIO,DGI官方旗舰店,抖音号： FORM_DGI,合肥凌晨商贸有限公司,"低GI倡导者专注糖高人群代餐
低升糖缓升糖高饱腹
怕糖吃DGI
北上广118家三甲营养科在用
合作请联系",138,1803,1353,4,
https://www.douyin.com/user/MS4wLjABAAAAlm4AhUltYBh_SszoPC1TAjwK6C-uDUVWN0jpJJBZSE8NQmZYFgk4xuBD6rYRSfpL,80后的小娘们,抖音号： 80houdexiaon53,,"人生很短，恩情珍贵，别忘了帮过你的人，别丢了对你好的人。
（拒绝连赞）",3173,1407,1.7w,461,
https://www.douyin.com/user/MS4wLjABAAAAMZ_l6TVS5pqZrMWtBxE5DEIaxO3p6DKYCG4SEOQkD1Y,2106928307,抖音号： 2106928307,,,3589,1435,1022,27,
https://www.douyin.com/user/MS4wLjABAAAAEMFtI9u2MKHhc86TrNaP2_KSG5vlXZeEAmeUce8BmuP11yBwz7CWoGacbgSLLlTU,90后小伙的抗癌日记,抖音号： hmk2317666,,"90后小伙的抗癌路
大家好我是明昆，2020年10月查出白血病移植后一直在抗排异抗感染的路上，我在努力的活着，感恩关注支持我的朋友谢谢你们。",81,384,1957,311,
https://www.douyin.com/user/MS4wLjABAAAAq_Nc7I-nw_c3tRLDnVPD-zi7tK-tK_kb__tSVxRYh0wNK6XirYkeoQZMi_fNMbTX,35142127140,抖音号： 35142127140,,感谢你的关注，每日分享,0,5,119,20,
https://www.douyin.com/user/MS4wLjABAAAAHbMPZljg6Sa8rhBDstJs_NRnQZn-N9iT1CDlaRyzVd8,Dilshat_Nezer,抖音号： Dilshat_Nezer,,"一个认真的逗比
vndidar ：Dilshat_Nezer",284,3.2w,22.3w,110,369
https://www.douyin.com/user/MS4wLjABAAAAxT7TcVLtN6fA7VLQ5BfnltXZlrB2AgUc-la7i88tM0A,97年的茜茜~,抖音号： 84941128,,"一名热爱营养学的营养师
15156077042",254,106,1325,154,
https://www.douyin.com/user/MS4wLjABAAAAdc4ZY0xws7aYB7RXi9L9bB3awKobTCD6Z1rnfDBqJCldur0XGjFkJ5RXy1qmVuZs,49820235517,抖音号： 49820235517,,,108,65,280,44,
https://www.douyin.com/user/MS4wLjABAAAAOsasuBMlyo8d_4T6LqEHoQvzTvDsvo7zeERaounNfds,DMD失去童年的色彩,抖音号： 1999688042,,,452,836,7272,43,
https://www.douyin.com/user/MS4wLjABAAAAya1WU3R0oD-2oOO_wEtKGiVIBiGuIyaWPVw1COUB2ks,A-小萝卜头,抖音号： 919688,,"谢谢你们的关注，不要连赞，连赞拉黑
所以生活，一半惊喜，一半遗憾",196,602,6930,178,1321
https://www.douyin.com/user/MS4wLjABAAAAMxajgrSRmduE68Fh8R-d3eC-GtDK3GhBtTWToCpgK-E,Doctor张,抖音号： 872406558,临沂市妇女儿童医院儿科主治医师 张广云,"三甲医院儿科主治医师
两个孩子的妈妈
每天分享优质健康知识
我们共同见证孩子健康每一天
本人一切言论与所在单位无关",2746,3545,9737,111,
https://www.douyin.com/user/MS4wLjABAAAA3huuFTUU6hEXCbGWpCcwHprplbq-sWEzmmJwp4fDNxI3Ee2lhmtIWqJP-y6WXJGp,A.cats,抖音号： New7.Cats,,————--Lovely cats.——————          流浪猫关爱计划发起人职业宠物营养师 爱护猫咪从懂做起,13,1907,6405,41,
https://www.douyin.com/user/MS4wLjABAAAAVdJnxVIzPrn761MAi2e31iMmmf-Hof9Bbmn-MH4M1RU,DODXO动漫,抖音号： 96173910,,感谢关注,6,46.7w,3705.6w,302,0
https://www.douyin.com/user/MS4wLjABAAAAhtl1HLne9saAcn6pICMl6J7Kzo0izUm905dxNTvGi6xZcz33PZQB9vun_dfXkOs1,69117650770,抖音号： 69117650770,,,6119,1768,8404,169,
https://www.douyin.com/user/MS4wLjABAAAALj16PfMfj0EqEFb5vEnl4aWsfJcn9CRvrJ19l-w2ltA,` L_小雨、,抖音号： Lxy_0707,,等不到天黑，烟火不会太完美…,324,619,2.0w,529,
https://www.douyin.com/user/MS4wLjABAAAANdcUkENaq9s2Oi8JEqtTNjvtm5tcBFSoDBLlgpaZD6k,a* 倩倩儿,抖音号： 130473619,,相爱容易，相知难！,722,595,9338,699,
https://www.douyin.com/user/MS4wLjABAAAADMoVwyVDg-SDo0NyAPnYpmlojUWjzxs5TbJ7GChJN3w,^O^胡家二小姐,抖音号： 392002717,,"谢谢您，这么好看还关注我
关注我，我们就是朋友了
毕竟，好看的人都在一起玩，
遇见之后， 我们的故事就开始了 ，
总有一段文字 ，是你心里的故事，
每天不定时的更新视频
关注了，就不要取关，取关我会 的",165,1153,1.1w,105,
https://www.douyin.com/user/MS4wLjABAAAA1TMtebjiehu8ux3Xji-8bpowqmpGWTSUwZY_eeNff8ZUP651qrnMLHOMduo9JyJC,A88980031,抖音号： A88980031,,本人专注于医疗服务10余年，希望用我的专业知识和资源给您带来帮助和购买到价优保真的产品。每天一款产品讲解。下午一点半到五点直播讲解。欢迎关注小微微A15391193339注明抖音。谢谢抖音官方,4,1269,441,39,
https://www.douyin.com/user/MS4wLjABAAAAde1N8p8eJt1z5bLMX7sm4dD0792GrIchwwD0jmEGZj4,^O^胡家二小姐^O^,抖音号： 13636760,,"谢谢您，这么好看还关注我
关注我，我们就是朋友啦！
毕竟，好看的人都在一起玩，
遇见之后， 我们的故事就开始了 ，
总有一段文字 ，是你心里的故事，
每天不定时的更新视频
关注了，就不要取关，取关我会 的",11,79,252,2,
https://www.douyin.com/user/MS4wLjABAAAANGgznHKH5ePeINGiTxv3ceQ5hOdIwmM4wLKPfQ3jhsGZ5qVYetULjHe2oisJYEwT,ABM品牌管理-(杨田青),抖音号： dyzst7dd0on9,,我是做品牌管理的，有品质生活，美丽，健康养生，三大类产品，        ABM是一个国际品牌经销管理平台。依托于ACCESS品牌管理集团的全球品牌资源和单创会员商城，全方位赋能个体创业者经销海外优质品牌，通过线上线下全渠道，向全球客户输出优质的产品和服务，创造价值。v:yang650032,1830,1058,6336,154,
https://www.douyin.com/user/MS4wLjABAAAAcob27nvzk8tIKo09H1iUPEQlJfrobvcF0EkaauMz8uo,￣生平安,抖音号： dygj116t72jh,,乔彩平,200,415,2.2w,1531,
https://www.douyin.com/user/MS4wLjABAAAA9cGmpwCHR19RW-NNDZFe9KFFcPkCQcdI9rTRtNP_3sM,ACR陈舟医生,抖音号： chen70197,上海长海医院肾内科主治医师,"擅长：痛风、高尿酸、肾结石、尿路感染、尿毒症等疾病
进粉丝群聊，学健康知识",113,14.6w,14.0w,163,
https://www.douyin.com/user/MS4wLjABAAAAMv9NnZKdDlzdTQ2M3QgiFp6mmz_LaJBeTsYwlWqvzak,AHTV第一时间,抖音号： dysjdy2003,安徽广播电视台,"安徽广播电视台经济生活频道官方账号
栏目热线0551-63416060 0551-63658080
投稿邮箱：ahjsxmt@163.com,爆料时请务必留下联系方式！",55,693.5w,1.1亿,11030,4783
https://www.douyin.com/user/MS4wLjABAAAAOVwIQ3R7s290pnewwiAyM33s46XhGmw-gR1RRfRLaIrtWmdDJ2wnAX5ZUvNCNZDm,Dover,抖音号： Alkylation,,"石化行业工艺工程师一名，欢迎交流。
主页实验会造成人身伤害和环境污染，请勿模仿。
请勿违反化学品管理法律和条例，安全你我他。
不去其他平台，个人V:songdaishiyu",449,5.8w,25.9w,422,
https://www.douyin.com/user/MS4wLjABAAAA9aRKOm2FdhLN1s4uv8CpwZaWJKO6XGwJgr4YtlfZn0M,-数雨听风-,抖音号： 997724781,,01,827,24,9,12,
https://www.douyin.com/user/MS4wLjABAAAAIjLArwtCOYP-8cABiTejrWkBgOvfhgSkrFMQ_asxoJ8EU-A9FBdJjX95-pyVnT_u,AHTV医道健康,抖音号： yidaojiankang,安徽广播电视台《医道健康》栏目官方抖音账号,安徽广播电视台健康科普栏目《医道健康》,5,1380,9265,209,
https://www.douyin.com/user/MS4wLjABAAAAprp4LMNtLG1X-Vb0N23JsbBojbiFYTWM6wRjFXdoJ2dhQBgQTd2xiL_aTZSohdPO,Dr.WangTF,抖音号： Dr.WangTF,中国康复医学会减重与代谢康复专委会青年委员 王廷峰,复旦大学附属浦东医院副主任医师，医学博士，曾在美国杜克大学研修减重与代谢外科。擅长单孔腹腔镜微创手术，在肥胖症，2型糖尿病，胃肠肿瘤和疝的微创治疗方面经验丰富。,110,368,916,17,473
https://www.douyin.com/user/MS4wLjABAAAA-U_hi9zRZzXgj2jhHWQqpvUxu4Qv3RElF3SrBRaTc1QuwlJzr9sWJMsC6zaJZXFw,、,抖音号： 1888688090L,,人生本来就不止一条路，有些人注定只能陪你走一程……,10,1606,2.7w,121,535
https://www.douyin.com/user/MS4wLjABAAAA90JvZO2_wfM-C8W259F1a0gAV1Vj9e6KAGb5ld17TMo,Ai   一帘悠梦！,抖音号： 1245689166,,,798,360,2030,86,
https://www.douyin.com/user/MS4wLjABAAAANGOBt6WNOVZgfjMx6VXX6LHov-kGt_BxGxGVGIOdAqc,DrX,抖音号： 120996055,安徽省立医院 神经外科主治医师 徐昊,"三个男孩的超级奶爸
华中科技大学同济医院/加州大学旧金山分校——医学博士
《学会看病》《人类历史上的传染病》——科普作者
手术视频都在合集里
每周日晚8：30直播，感谢支持",911,59.9w,287.6w,459,
https://www.douyin.com/user/MS4wLjABAAAA8fBodov3yk4dTzYlw5u0-6hXfhkc1sR1qIfYDql728w,……房东的猫,抖音号： 618024345,,最孤独的时光会塑造最坚强的自己,603,504,7089,133,
https://www.douyin.com/user/MS4wLjABAAAA20qy1NCGk1BRv4MusOM7ILpA-IoycZ4I_39Ey-B-BTE,AIS-普拉提 王小冉,抖音号： 42996486,,国家三级健康管理师 一个有信仰的普拉提健身教练,181,195,1950,161,
https://www.douyin.com/user/MS4wLjABAAAA6yvIAkUe0sXKOD8gxZdirtN065Iw0HZ360dKdOnqB7c,“针知灼健”史医生,抖音号： szwyy18729,徐州市肿瘤医院影像科副主任医师 史志伟,"驭针知真相(病理)，驽灼（消融）获康健！
此生不悔入微创，来世还做穿刺人！
做一个有温度，有宽度的医者
三甲医院影像与微创副主任医师",86,11.0w,37.3w,235,766
https://www.douyin.com/user/MS4wLjABAAAAXFidtKP7lM6CppACSmkOq-I4cJlGTwmmihI_urvKpUf9yisde9CgSjoqneHzTsLk,Ai追击美丽姐,抖音号： 2191150356,,免费减脂：13602074139点击商品橱窗看美丽姐分享好物合作：13502151691直播：早8:30拉伸操 健身减肥操 健康拍打操。         美丽姐跳舞25年，希望把这种快乐传递给所有的家人们！感谢陪伴,358,129.4w,781.9w,1013,
https://www.douyin.com/user/MS4wLjABAAAAAySJZ54T5DV_9omXHSH-XKKDMiyUQnNn6gyA1M6XUFI,(合肥市第二人民医院),抖音号： 1194996433,合肥市第二人民医院,守护新生者,3049,1688,1.0w,215,
https://www.douyin.com/user/MS4wLjABAAAAzczPnf0yFUaRvaDIdq6lYsbpf7D5K-uc1e7uoZy_evo,Alex自然风物志,抖音号： alexliu1969,, Nature        聆听自然的声音 Creatures   感受众生的灵动 Oasis          驻足芳林 | 漫游心灵の绿洲 Discovery   狂心顿歇 | 重新发现自然太美      【 自然奇观  • 生物观察 • 生活记录 • 唯美视听 】                感谢关注、点赞、转发、评论- ﹣ -   A粉v: alexliu1969  ﹣ - ﹣,2445,2.6w,65.7w,656,
https://www.douyin.com/user/MS4wLjABAAAAiV_wOfsBYj1NKBNsYUY4OaBkV99MmTx3TaBGgNongpI,anguofuyou,抖音号： anguofuyou,安国市妇幼保健院,,7,260,1115,75,
https://www.douyin.com/user/MS4wLjABAAAAMK64atvoxis0cjFVEph22kqlTsUbXdyuCZzVItVaVOM,用户6957256873122,抖音号： dyuls776q6mm43,,,0,0,0,0,
https://www.douyin.com/user/MS4wLjABAAAAKqkT1cYFX2CoUgsIYABtp1YVZeaEBCGdrVb21GMuCC8VUJo27ajTmCnn_Ixvqp4A,（小刘）控糖日记,抖音号： lyy15008800060,,"感谢抖音提供的绿色平台。
由于肥胖，两年前做了一次体检，体检结果很让我震惊，肥胖导致我出现三高（空腹血糖17.08毫摩尔每升）
确诊二型糖尿病，当时的沉重的打击了我，因此到了我人生中的低谷。但我不能这样堕落和消极。通过一年科学的运动和合理的膳食。现在不吃药不打针，血糖达到正常人的值，体重减掉27公斤。现在颜值提升，健康加倍，对生活更有信心了。关注我，每天分享合理饮食，指导你们健康减脂，运动控糖。",289,4997,1.1w,284,
https://www.douyin.com/user/MS4wLjABAAAA5r0LEf91G0JXpZreXM3YWozscsZpu6ZSSgjpPKEn0qtOj9QWl4EXDFXBxIUl02PR,AnyCakes,抖音号： 14day33006,,"事不能一蹴而就，
打好基础很重要。",1,22,52,9,
https://www.douyin.com/user/MS4wLjABAAAAjWpGnG_U-XQT5KPotPsSvBgkZ5ac0ESdkoeAmMWUI__51soMzkS-E5lH4vitqBM1,DZ瘦叔,抖音号： SS.Balancer,,"19年的瘦身健康指导者
帮您瘦的40+大叔
理想真的把健康.减肥这事做好
一对一瘦身计划，必瘦瘦身管理营
为俱乐部制定或合作承诺瘦身服务
健康行业投资人
2009邦德健身 2015巴伦斯健康管理
2017熔岩健身 2019BALANCER梦想健身",837,4.2w,14.6w,445,1968
https://www.douyin.com/user/MS4wLjABAAAA_1-fq6rI67TN_dBTCd2UqG0aK2bh2-rhOfE6bsyKuV4,A帅邦 厨卫电器 集成吊顶《葛》,抖音号： ge13855233595,,知足常乐,270,315,9306,348,
https://www.douyin.com/user/MS4wLjABAAAAS4mFXeC7epJBl8twJsbpYHVUPgXaBrlsQz0SpXA0SpQ,《74》32号娶你,抖音号： 1759381869,,"下深海者得珍珠，下深浅者得鱼虾。
日落西山你不陪，东山再起你是谁。",1879,2056,1.2w,58,
https://www.douyin.com/user/MS4wLjABAAAAk3ACGXbk1QvaYdGwnFcg6QWuLZRsvZlImskWpnVz2QUI8ADf3jBpDyucLxGDz7Gc,D窦窦公伟健身运动,抖音号： D6666G6666W,,"2022年带100万人完成健身目标
ACE美国运动委员会“国际私教”
NSCA美国国家体能协会认证
良心博主：持续分享实用健身技巧
北欧海盗宣传大使 动力实验室抖音达人
V: DGWYOUCAN【合作备注来意】
干货带货两不误，为了生活和热爱
橱窗精选宝贝，说不定有你需要的",881,11.9w,123.8w,1000,
https://www.douyin.com/user/MS4wLjABAAAAKEgPhzT0IUGmDS3xa1wRRaA5J2JWqu_WsRE91eaKvJs,A微笑^O^人生,抖音号： 942596313,,,465,224,2190,193,
https://www.douyin.com/user/MS4wLjABAAAAQUDSiA_NZH-M6ZrONT5C8cyOsDmLFfSZHnGAWwONCq4,《白衣执甲》栏目,抖音号： baiyizhijial,河南广播电视台《白衣执甲》栏目官方抖音账号,"专家个人账号都在关注里
与您一起守护生命的美好。",9,40.7w,99.2w,215,
https://www.douyin.com/user/MS4wLjABAAAAcRR_BPCFoBT_hO7npTuyQmpOZrazlDUDzTip-KhoXXI,EB健型,抖音号： everbuild,北京健型科技有限公司,"EB健型 运动营养膳食品品牌
奥赛中国站官方指定运动营养品牌
福袋问题咨询抖音账号，订单问题咨询抖店客服",102,131.3w,1353.4w,314,
https://www.douyin.com/user/MS4wLjABAAAA0Vy-xsvqS9RHNq-pNU6ONvo2HS1OjYVIZ5sadz9tzQE,BabyCome梦小涵,抖音号： 200024355,,【  分享备孕，怀孕知识  】      陪伴你的孕育之旅      让新手妈妈不迷茫,235,228,5072,8,
https://www.douyin.com/user/MS4wLjABAAAAzbkJ08HpAB9fTlyZFLijEZ6P7WvTRqU97h-_UWEm6jg,《華西龍哥》,抖音号： 6666QGQ9999,,,3132,9430,9.6w,1081,
https://www.douyin.com/user/MS4wLjABAAAA_j_92oaupqVTTA1bMEWetEAzK45Ey56_2izhsp318HuaJGZKXkTsIQy-SBbNkKQQ,BAISHUNAN_,抖音号： 472415988_,,"一个普通健身爱好者。
身高184cm 体重83kg。
分享健身日常。",17,1.7w,3.5w,56,
https://www.douyin.com/user/MS4wLjABAAAAQMvgrRoXxUyZjd38oT4vZSbL6mjJI9RXAzr_J4pS7vc,Elina糖糖,抖音号： 91424289,,长得漂亮是优势活的漂亮是本事，能独立的女人才最美丽V:13585760886,3378,1221,8600,334,
https://www.douyin.com/user/MS4wLjABAAAAAqyHbPTZslBUPnbt2TfLPHblOiOvNQAXbBmwQXy10II,【菲瘦不可】IFBB PRO,抖音号： SHEMAN27,,"简介：人间清醒，变美上瘾
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _


CCTV特邀舞蹈嘉宾
健身赛事十连冠
IFBB PRO 职业卡选手
12年塑形经验，成功帮助1000女性成功蜕变",3475,3845,1.7w,184,
https://www.douyin.com/user/MS4wLjABAAAAwVr6Ir7Esr2K4g9TIyhi5swnMjaDgbeWk1Um7W0_NWM,BBBBetty,抖音号： 783425910,,,282,63,278,25,
https://www.douyin.com/user/MS4wLjABAAAA3r_nIIJ3LZCFNUkXhdDePQCieupcGz6tMa1GZwUTiHo,EN。,抖音号： 143181603,,学会温柔并珍惜拥有。,617,315,0,115,
https://www.douyin.com/user/MS4wLjABAAAAt7w5LTZ9ZZ5U8qHmXEhs4A8di8dyei0ObgBYtIw5aB4,BDTV生活健康频道,抖音号： BDTV3,BDTV生活健康频道官方账号,一个有趣的频道！,27,4.2w,43.4w,1711,
https://www.douyin.com/user/MS4wLjABAAAAhTroAe49o1PDipan77cRUzxlgZD2uD5t-SVolhKCZRQqPudZR8pH29-FXzNvBPb0,【育儿有方】,抖音号： dy00777333,,"关注孩子的童年健康问题
每日分享育儿知识， 共同成长
成为优秀的父母，培养优秀的孩子
推荐好书在下方商品橱窗",118,34.3w,100.6w,150,
https://www.douyin.com/user/MS4wLjABAAAA_ANZaaw7qaIW_sLYls5pVJFM6E6pCkLaoJxrnxxPGKc,@艾琳,抖音号： 83707028,,"1989宝妈
2021小牛牛
初为人母努力学习 喜欢我们就留下关注吧
一起交流带娃经验",60,1.5w,6.5w,102,
